query nfact factsize facts ndim dimsize dims qsize nfrom nwhere nskwhere ngroup norder ncte nsum navg ncase inter_size final_size
query56 3 792.72 catalog_sales,store_sales,web_sales 3 19.91 item,customer_address,date_dim 1.98 10 24 15 4 1 3 4 0 0 0 0
query57 1 282.2 catalog_sales 3 14.66 item,call_center,date_dim 1.57 3 19 16 1 2 2 2 1 1 0 0
query58 3 792.72 catalog_sales,store_sales,web_sales 2 14.66 item,date_dim 2.31 10 29 23 3 1 3 3 0 0 0 0
query59 1 370.45 store_sales 2 9.84 store,date_dim 2.04 4 11 7 1 1 1 7 0 7 0 0
query6 1 370.45 store_sales 4 32.51 item,customer_address,date_dim,customer 0.76 3 9 5 1 1 0 0 1 0 0 0
query60 3 792.72 catalog_sales,store_sales,web_sales 3 19.91 item,customer_address,date_dim 2.07 10 24 15 4 1 3 4 0 0 0 0
query61 1 370.45 store_sales 6 32.55 item,customer_address,store,date_dim,promotion,customer 1.45 3 24 13 0 1 0 2 0 0 0 0
query62 1 140.07 web_sales 4 9.85 warehouse,web_site,date_dim,ship_mode 1.20 1 9 -3 1 1 0 5 0 5 0 0
query63 1 370.45 store_sales 3 14.66 item,store,date_dim 1.32 2 11 8 1 1 0 2 1 1 0 0
query64 2 652.65 catalog_sales,store_sales 11 161.19 store_returns,item,income_band,customer_address,store,customer_demographics,household_demographics,date_dim,catalog_returns,promotion,customer 3.52 2 24 2.5 2 1 2 7 0 0 0 0
query65 1 370.45 store_sales 3 14.66 item,store,date_dim 0.91 4 10 0 3 1 0 2 1 0 0 0
query66 2 422.27 catalog_sales,web_sales 4 14.71 warehouse,time_dim,date_dim,ship_mode 7.67 3 15 7 3 1 0 84 0 48 0 0
query67 1 370.45 store_sales 3 14.66 item,store,date_dim 1.22 3 6 3 1 2 0 1 0 0 0 0
query68 1 370.45 store_sales 5 27.83 customer_address,store,household_demographics,date_dim,customer 1.75 2 13 5.5 1 1 0 3 0 0 0 0
query69 3 792.72 catalog_sales,store_sales,web_sales 4 104.61 customer_address,customer_demographics,date_dim,customer 1.58 4 21 13 1 1 0 0 0 0 0 0
query7 1 370.45 store_sales 4 91.62 item,customer_demographics,date_dim,promotion 0.79 1 10 6 1 1 0 0 4 0 0 0
query70 1 370.45 store_sales 2 9.84 store,date_dim 1.19 3 10 6 2 3 0 3 0 2 0 0
query71 3 792.72 catalog_sales,store_sales,web_sales 3 19.53 item,time_dim,date_dim 1.64 4 14 0 1 1 0 1 0 0 0 0
query72 1 282.2 catalog_sales 8 337.62 item,warehouse,inventory,customer_demographics,household_demographics,date_dim,catalog_returns,promotion 1.36 1 9 -2 1 1 0 0 0 2 0 0
query73 1 370.45 store_sales 4 22.58 store,household_demographics,date_dim,customer 1.86 2 14 9 1 1 0 0 0 1 0 0
query74 2 510.52 store_sales,web_sales 2 22.44 date_dim,customer 2.09 3 20 16 2 1 1 0 0 2 0 0
query75 3 792.72 catalog_sales,store_sales,web_sales 5 75.59 store_returns,item,web_returns,date_dim,catalog_returns 3.19 0 0 -9 0 0 0 0 0 0 0 0
query76 3 792.72 catalog_sales,store_sales,web_sales 2 14.66 item,date_dim 1.78 0 0 -20 0 0 0 0 0 0 0 0
query77 3 792.72 catalog_sales,store_sales,web_sales 6 70.78 store_returns,web_returns,web_page,store,date_dim,catalog_returns 3.14 10 22 3.5 6 1 6 15 0 0 0 0
query78 3 792.72 catalog_sales,store_sales,web_sales 4 70.77 store_returns,web_returns,date_dim,catalog_returns 2.24 4 13 -6 3 1 3 9 0 0 0 0
query79 1 370.45 store_sales 4 22.58 store,household_demographics,date_dim,customer 1.05 2 10 4.5 1 1 0 2 0 0 0 0
query8 1 370.45 store_sales 4 27.69 customer_address,store,date_dim,customer 7.54 3 6 3 2 1 0 1 0 0 0 0
query80 3 792.72 catalog_sales,store_sales,web_sales 9 77.2 store_returns,item,catalog_page,web_returns,web_site,store,date_dim,catalog_returns,promotion 2.98 7 27 12 4 1 3 12 0 0 0 0
query81 0 0 None 4 48.08 customer_address,date_dim,catalog_returns,customer 1.37 3 8 2.5 1 1 1 1 1 0 0 0
query82 1 370.45 store_sales 3 240.13 item,inventory,date_dim 0.76 1 10 7 1 1 0 0 0 0 0 0
query83 0 0 None 5 75.59 store_returns,item,web_returns,date_dim,catalog_returns 2.09 10 17 11 3 1 3 3 0 0 0 0
query84 0 0 None 6 126.1 store_returns,income_band,customer_address,customer_demographics,household_demographics,customer 0.69 1 8 3 0 1 0 0 0 0 0 0
query85 1 140.07 web_sales 6 101.37 customer_address,web_returns,web_page,customer_demographics,reason,date_dim 2.27 1 39 32 1 1 0 0 6 0 0 0
query86 1 140.07 web_sales 2 14.66 item,date_dim 0.70 1 4 2 1 2 0 2 0 2 0 0
query87 3 792.72 catalog_sales,store_sales,web_sales 2 22.44 date_dim,customer 0.93 4 12 6 0 0 0 0 0 0 0 0
query88 1 370.45 store_sales 3 5.01 store,time_dim,household_demographics 5.42 9 96 72 0 0 0 0 0 0 0 0
query89 1 370.45 store_sales 3 14.66 item,store,date_dim 1.79 2 9 6 1 1 0 2 1 1 0 0
query9 1 370.45 store_sales 1 0 reason 2.30 16 31 30.5 0 0 0 0 10 5 0 0
query90 1 140.07 web_sales 3 5.02 web_page,time_dim,household_demographics 1.14 3 16 10 0 1 0 0 0 0 0 0
query91 0 0 None 7 125.14 call_center,customer_address,customer_demographics,household_demographics,date_dim,catalog_returns,customer 1.30 1 14 8 1 1 0 2 0 0 0 0
query92 1 140.07 web_sales 2 14.66 item,date_dim 0.86 1 9 5 0 1 0 2 1 0 0 0
query93 1 370.45 store_sales 2 31.19 store_returns,reason 0.83 2 3 -1.5 1 1 0 1 0 1 0 0
query94 1 140.07 web_sales 4 24.45 customer_address,web_returns,web_site,date_dim 0.98 3 12 8 0 1 0 2 0 0 0 0
query95 1 140.07 web_sales 4 24.45 customer_address,web_returns,web_site,date_dim 1.13 4 12 7 0 1 1 2 0 0 0 0
query96 1 370.45 store_sales 3 5.01 store,time_dim,household_demographics 0.52 1 7 4 0 1 0 0 0 0 0 0
query97 2 652.65 catalog_sales,store_sales 1 9.84 date_dim 1.00 3 10 -3 2 0 2 3 0 3 0 0
query98 1 370.45 store_sales 2 14.66 item,date_dim 0.85 1 5 3 1 1 0 4 0 0 0 0
query99 1 282.2 catalog_sales 4 9.84 call_center,warehouse,date_dim,ship_mode 1.21 1 9 -3 1 1 0 5 0 5 0 0
